	others_app_size	others_app_number	others_text_size	others_text_number
72	5134.0	2.0	0.0	0.0
73	386127.0	17.0	17256.0	2.0
74	448331.0	10.5	156944.0	6.0
75	448316.5	7.0	0.0	0.0
76	748619.0	47.0	26.0	2.0
77	369981.0	7.0	0.0	0.0
78	374940.5	13.0	0.0	1.0
79	770794.0	37.0	2.0	1.0
80	640270.0	17.0	1961.0	5.0
81	424684.0	6.0	0.0	0.0
82	34937.0	4.5	0.0	0.0
83	376124.0	13.0	4608.0	1.0
84	534744.0	6.0	0.0	0.0
85	371248.0	7.0	0.0	1.0
86	424684.0	5.0	0.0	0.0
87	600512.0	26.0	505.0	5.0
88	556637.0	12.0	0.0	3.0
89	455221.0	12.0	0.0	1.0
90	442020.0	9.0	0.0	0.0
91	567463.0	15.0	0.0	3.0
92	535067.0	20.0	0.0	0.0
93	386902.0	6.5	156944.0	6.0
94	401663.5	13.5	1406.0	1.0
95	371176.0	11.0	58.0	2.0
96	894584.0	20.0	207.0	3.0
97	371732.5	7.0	1150.0	1.0
98	540632.0	18.0	80.0	2.0
99	488131.0	28.0	0.0	2.0
100	923183.0	14.0	0.0	0.0
101	379824.0	7.0	0.0	1.0
102	0.0	0.0	0.0	0.0
103	0.0	0.0	0.0	0.0
104	593177.0	26.0	505.0	11.0
105	403144.5	6.0	0.0	1.0
106	609634.5	13.0	0.0	0.0
107	452990.0	15.0	6224.0	6.0
108	777294.0	41.0	2.0	1.0
109	450230.5	9.0	0.0	0.0
110	428673.0	25.0	0.0	2.0
111	754202.0	41.0	2.0	1.0
112	639860.0	25.0	507.0	5.0
113	748139.5	14.0	0.0	0.0
114	487126.5	22.0	655738.5	19.0
115	370076.0	6.0	1.0	3.0
116	369491.5	4.5	0.0	0.0
117	390491.0	7.0	0.0	0.0
118	452368.0	20.0	388.0	5.0
119	517238.0	7.0	0.0	0.0
120	484617.5	17.0	457864.0	16.5
121	516514.0	13.0	1.0	2.0
122	509983.0	11.0	0.0	0.0
123	415865.0	6.0	0.0	0.0
124	758043.0	21.0	0.0	1.0
125	446262.0	19.0	549493.0	14.0
126	403876.0	9.0	156944.0	6.0
127	448615.5	8.0	22.0	1.0
128	388536.0	6.0	0.0	0.0
129	482031.0	12.0	106.0	1.0
130	396014.0	17.0	7284.0	2.0
131	369464.0	4.0	0.0	0.0
132	431689.0	27.0	100944.0	7.0
133	369464.0	4.0	0.0	0.0
134	449656.0	9.0	156944.0	6.0
135	446173.5	18.0	555808.5	17.0
136	471104.0	14.5	0.0	1.0
137	385956.5	12.0	156944.0	6.0
138	28443.0	2.5	135620.0	5.0
139	586695.5	26.0	2675.0	11.5
140	424684.0	5.0	0.0	0.0
141	424684.0	5.0	0.0	0.0
142	665846.5	34.0	40987.0	7.0
143	369464.0	4.0	0.0	0.0
144	371573.0	5.0	5403.0	1.0
145	374790.5	9.0	313.5	3.5
146	392179.0	13.0	0.0	0.5
147	678126.5	13.0	0.0	1.0
148	424684.0	18.0	508753.0	3.0
149	369464.0	4.0	0.0	0.0
150	1644578.0	27.0	149.0	2.0
151	452672.0	8.0	0.0	1.0
152	592925.0	25.0	506.0	3.0
153	370076.0	6.0	1.0	1.0
154	579378.5	24.0	1135.0	6.0
155	380238.0	10.5	2068.0	2.5
156	488193.0	12.0	0.0	3.0
157	545563.5	24.0	6745.0	2.0
158	0.0	0.0	0.0	0.0
159	377619.0	6.5	149184.0	5.0
160	751869.0	13.0	0.0	0.0
161	394338.5	6.0	58.0	1.0
162	989810.5	31.0	0.0	2.0
163	604570.0	10.0	0.0	0.0
164	369464.0	4.0	0.0	0.0
165	369464.0	4.0	0.0	0.0
166	475846.0	16.0	58.0	1.0
168	625534.0	17.0	0.0	0.0
169	182.5	1.0	0.0	0.0
170	374531.0	5.0	6201.0	1.0
171	822199.0	14.0	0.0	1.0
172	483656.0	16.0	405758.0	12.0
173	369464.0	4.0	0.0	0.0
174	506265.5	11.0	0.0	1.0
175	376945.0	7.0	0.0	0.0
176	377852.5	11.0	39.0	3.0
177	758044.0	21.0	0.0	1.0
