	others_app_size	others_app_number	others_text_size	others_text_number
198	448293.0	15.0	22.0	5.0
199	452208.0	27.5	455547.0	27.5
200	427861.0	11.0	0.0	0.0
201	290645.0	8.5	0.0	1.0
202	99395.0	8.0	0.0	0.0
203	1120768.5	14.5	2.0	4.5
204	473820.0	7.0	0.0	0.0
205	438905.0	12.0	11212.0	9.0
206	498226.5	14.5	100945.0	8.0
207	441393.5	26.0	51.5	7.5
208	481194.0	12.0	0.0	1.0
209	369491.5	4.5	0.0	0.0
210	419910.0	13.0	0.0	0.0
211	370375.0	5.0	15019.0	3.0
212	920072.0	25.0	0.0	0.0
213	556219.0	22.0	512.0	6.0
214	369591.0	6.0	4349.0	1.0
215	2634.0	1.0	0.0	0.0
216	655315.0	14.0	0.0	1.0
217	598428.5	27.0	817.5	10.5
218	806512.0	33.0	0.0	2.0
219	395916.0	19.0	456678.0	15.0
220	55.0	1.0	200366.0	4.0
221	407319.0	13.0	0.0	0.0
222	774472.5	39.0	15.0	4.0
223	390224.0	8.0	0.0	0.0
224	370732.0	5.0	0.0	0.0
226	390962.0	15.0	406718.0	12.0
227	374328.0	6.5	0.0	0.0
228	383921.0	13.0	0.0	4.0
229	370485.0	8.0	0.0	5.0
230	369523.0	7.0	105228.0	4.0
231	487174.5	31.0	0.0	10.5
232	544462.0	7.0	0.0	2.5
233	771048.0	42.0	2.0	3.0
234	0.0	0.0	0.0	0.0
235	442660.0	16.0	12247.0	12.0
236	963452.0	16.0	0.0	0.0
237	399916.0	13.0	0.0	1.0
238	55.0	1.0	0.0	0.0
239	0.0	0.0	1.0	1.0
240	612658.5	13.0	16980.0	2.5
241	593069.5	26.0	16021.5	6.0
242	440087.0	13.5	15527.0	11.0
243	369519.0	5.0	0.0	0.0
244	375271.0	10.0	0.0	5.0
245	454722.0	12.0	50022.5	1.0
246	377445.5	13.0	0.0	3.0
247	634381.0	36.5	5737.0	4.5
248	377596.0	26.0	1228.0	27.0
249	106411.0	4.5	26.0	2.0
250	390901.0	15.0	406674.0	13.0
251	593219.0	28.0	1209.0	5.0
252	61331.0	13.0	109668.0	4.0
253	0.0	0.0	1.0	1.0
254	192629.5	11.0	0.0	0.0
255	431840.0	11.0	50.0	5.0
256	488288.5	9.0	14011.0	4.5
257	716135.5	13.0	0.0	0.0
258	369968.0	9.0	64464.0	1.0
259	593067.0	26.0	1136.5	6.5
260	55.0	1.0	0.0	0.0
261	369530.5	6.0	0.0	0.0
262	369531.0	5.0	58.0	1.0
263	421393.0	21.0	0.0	3.0
264	385625.5	15.5	356757.5	13.0
265	72206.0	2.0	0.0	0.0
266	443924.0	14.0	17758.5	12.0
267	457816.5	43.5	35674.0	27.5
268	644089.0	10.5	24908.0	1.0
269	595755.0	17.0	0.0	1.0
271	434106.0	29.0	40990.0	8.0
272	390920.0	16.0	356738.0	12.0
274	410638.0	36.0	0.0	8.0
275	425664.0	11.0	58.0	1.0
276	0.0	0.0	1.0	1.0
277	439704.0	14.0	0.0	1.0
278	390591.5	15.0	356773.0	12.5
279	385673.0	16.5	2.0	3.5
280	1037740.0	14.0	0.0	1.0
281	82694.0	3.0	0.0	0.0
282	436143.0	6.0	0.0	1.0
283	573814.0	23.0	0.0	0.0
284	0.0	0.0	1.0	1.0
285	0.0	0.0	1.0	1.0
287	478803.0	24.0	0.0	5.0
288	393969.0	61.0	0.0	28.0
289	422039.0	15.0	1.0	1.0
290	369519.0	5.0	0.0	0.0
291	434916.0	5.0	0.0	0.0
292	413954.0	6.0	0.0	0.0
293	391039.0	15.0	406500.0	12.0
294	414969.0	9.5	0.0	3.0
295	741219.0	10.0	6.5	1.5
296	387489.0	17.5	2.0	2.0
297	369519.0	5.0	0.0	3.5
298	390902.5	15.5	356777.5	12.5
299	474702.0	20.0	112471.0	6.0
300	400679.0	14.0	0.0	2.0
301	3072.0	4.0	0.0	1.0
302	593118.5	26.0	1134.5	4.5
303	447700.5	20.0	1414.0	3.0
304	371691.0	6.0	0.0	1.0
305	1189053.5	20.0	0.0	2.0
306	1051429.5	40.5	5299.0	12.5
307	369721.0	10.0	58.0	2.0
308	499028.0	28.0	0.0	5.0
309	593083.0	26.0	509.0	4.0
310	397161.0	11.0	1.0	4.0
311	612728.0	14.0	0.0	3.0
312	369601.0	6.0	1.0	5.0
313	620639.5	14.0	0.0	1.5
314	1527942.0	21.0	0.0	2.0
